catnum	length							
P05078	14.4							
P05078	20.3							
P05078	12.5							
P05078	15.6							
P05078	20.6							
P05078	18.3							
P05078	14.8							
P05078	14.9							
P05078	18.7							
P05078	17.4							
P05078	19.6							
P05078	18.6							
P05078	10.9							
P05078	13.6							
P05078	13.2							
P05078	14.4							
P05078	11.7							
P05078	15.3							
P05078	18.9							
P05078	13							
P05078	11.6							
P05078	19.1							
P05078	14.4							
P05078	10.6							
P05078	17.2							
P05078	19.3							
P05078	14.5							
P05078	15.1							
P05078	20.1							
P05078	15.4							
P05078	16.8							
P05078	18.1							
P05078	14.7							
P05078	12.9							
P05078	15.9							
P05078	12.5							
P05078	12.6							
P05078	16.3							
P05078	17.9							
P05078	18.1							
P05078	14.3							
P05178	23							
P05178	17.8							
P05178	27.1							
P05178	17.6							
P05178	29.4							
P05178	17							
P05178	19.9							
P05178	25.6							
P05178	25.8							
P05178	17.6							
P05178	24.8							
P05178	24.6							
P05178	26.2							
P05178	27.3							
P05178	18.9							
P05178	19.9							
P05178	23.9							
P05178	14							
P05178	33.4							
P05178	18.5							
P05178	30.5							
P05178	18.4							
P05178	21.1							
P05178	19							
P05178	18.7							
P05178	25.9							
P05178	18.9							
P05178	17.3							
P05178	26.7							
P05178	23							
P05178	23.8							
P05178	19.9							
P05178	19.2							
P05178	19.6							
P05178	20.6							
P05178	21.3							
P05178	24							
P05178	22.9							
P05178	24.7							
P05178	24.3							
P05178	25.4							
P05178	19.3							
P05178	18.7							
P05178	20.7							
P05178	27.7							
P05178	19.2							
P05178	18.6							
P05178	26.5							
P05178	30							
P05178	16.4							
P05178	20							
P05178	20.1							
P05178	20.6							
P05178	19.7							
P05178	18.5							
P05178	28.3							
P05178	19							
P05178	21.2							
P05178	16.8							
P05178	26.4							
P05178	20.3							
P05178	17.5							
P05178	22.7							
P05178	26.7							
P05178	22.4							
P05178	25.4							
P05178	23.8							
P05178	22							
P05178	16.5							
P05178	19.8							
P05178	22.3							
P05178	22							
P05178	24.4							
P05178	25.2							
P05178	15							
P05178	26.1							
P05178	28.8							
P05178	17.6							
P05178	21.2							
P05178	24.3							
P05178	21.1							
P05178	27.3							
P05178	24.4							
P05178	24							
P05178	21.2							
P05178	30.5							
P05178	21							
P05178	17.7							
P05178	15.3							
P05178	21.6							
P05178	18.8							
P05178	24.8							
P05178	22.8							
P05178	16.3							
P05178	13.2							
P05178	24.2							
P05178	23.5							
P05178	19.3							
P05178	22.5							
P05178	20.3							
P05178	22.5							
P05178	22.9							
P05178	18.9							
P05178	28.1							
P05178	21							
P05178	21.7							
P05178	19.2							
P05178	17.9							
P05178	25.1							
P05178	17.7							
P05178	17.5							
P05178	30							
P05178	19.6							
P05178	22.4							
P05178	20.7							
P05178	20.2							
P05178	29.2							
P05178	18.7							
P05178	16.2							
P05178	24.7							
P05178	20.5							
P05178	25.3							
P05178	16.3							
P05178	23.8							
P05178	18							
P05178	16.8							
P05178	24.1							
P05178	16							
P05178	20.1							
P05178	23.5							
P05178	20.7							
P05178	27.6							
P05178	29.4							
P05178	19.4							
P05178	25.3							
P05178	20							
P05178	24.8							
P05178	25.6							
P05178	20.9							
P05178	21							
P05178	17.4							
P05178	18.3							
P05178	17.4							
P05178	17.7							
P05178	23.9							
P05178	16.3							
P05178	20.2							
P05178	25.7							
P05178	24.1							
P05178	27.2							
P05178	25.2							
P05178	22.7							
P05178	22.4							
P05178	19.1							
P05178	27.2							
P05178	18.5							
P05178	26.2							
P05178	23.7							
P05178	20							
P05178	20.6							
P05178	16.7							
P05178	17							
P05178	21.2							
P05178	19							
P05178	23.2							
P05178	15.3							
P05178	28.2							
P05178	19.7							
P05178	21.8							
P05178	29.5							
P05178	15.4							
P05178	23							
P05178	18.3							
P05178	21.2							
P05178	25.3							
P05178	20.4							
P05178	26.5							
P05178	19.6							
P05178	21.5							
P05178	27							
P05198	20.2							
P05198	20							
P05198	21.6							
P05198	22.5							
P05198	20.8							
P05198	26.5							
P05198	21.8							
P05198	19.9							
P05198	22.5							
P05198	17.7							
P05198	22.1							
P05198	18.5							
P05198	22.6							
P05198	23.1							
P05198	24.8							
P05198	20.3							
P05198	21							
P05198	18.4							
P05198	21							
P05198	20.8							
P05198	16.7							
P05198	22							
P05198	22.7							
P05198	19.9							
P05198	22.1							
P05198	23.5							
P05198	17.9							
P05198	22.9							
P05198	21.1							
P05198	16.9							
P05198	24.4							
P05198	21.2							
P05198	22.9							
P05198	21.9							
P05198	17.9							
P05198	20.4							
P05198	23.7							
P05198	22.7							
P05198	20.5							
P05198	21.1							
P05198	23.2							
P05198	24.4							
P05198	23.3							
P05198	19.8							
P05198	19.8							
P05198	23.7							
P05198	17.6							
P05198	19.4							
P05198	22.2							
P05198	19.5							
P05198	18.6							
P05198	21.8							
P05198	19.6							
P05198	23.5							
